id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,bg_smoke_risk,bg_pop_risk,bg_pop,place_id
5184956,1,109,170313817001,Cook,Illinois,W 47th St,0.43582246735959625025,,0,1714000
5171922,3001,3199,170310626001,Cook,Illinois,N Ravenswood Ave,0.28037957947687334992,0.18494192477876109468,266,1714000
5171923,2800,3198,170310626001,Cook,Illinois,N Paulina St,0.28037957947687334992,0.18494192477876109468,266,1714000
5171388,3400,3598,170310509001,Cook,Illinois,N Claremont Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5171924,2801,3199,170310626001,Cook,Illinois,N Paulina St,0.28037957947687334992,0.18494192477876109468,266,1714000
5171925,2900,2998,170310626001,Cook,Illinois,N Wood St,0.28037957947687334992,0.18494192477876109468,266,1714000
5180204,1601,1803,170312301001,Cook,Illinois,N Whipple St,0.43871472806653504482,0.08359375000000001480,155,1714000
5180205,1601,1799,170312301001,Cook,Illinois,Kedzie Ave,0.43871472806653504482,0.08359375000000001480,155,1714000
5180206,1601,1699,170312301001,Cook,Illinois,N Kedzie Ave,0.43871472806653504482,0.08359375000000001480,155,1714000
5180207,1600,1830,170312301001,Cook,Illinois,N Albany Ave,0.43871472806653504482,0.08359375000000001480,155,1714000
5180208,1601,1799,170312301001,Cook,Illinois,N Albany Ave,0.43871472806653504482,0.08359375000000001480,155,1714000
5183303,1301,1399,170312832001,Cook,Illinois,W Polk St,0.62050398738395548311,0.08877212389380532545,152,1714000
5171389,3401,3599,170310509001,Cook,Illinois,N Claremont Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5183304,1200,1298,170312832001,Cook,Illinois,W Cabrini St,0.62050398738395548311,0.08877212389380532545,152,1714000
5183305,1201,1299,170312832001,Cook,Illinois,W Cabrini St,0.62050398738395548311,0.08877212389380532545,152,1714000
5171390,3401,3573,170310509001,Cook,Illinois,N Western Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5183306,748,1198,170312832001,Cook,Illinois,S Racine Ave,0.62050398738395548311,0.08877212389380532545,152,1714000
5183307,1201,1399,170312832001,Cook,Illinois,W Lexington St,0.62050398738395548311,0.08877212389380532545,152,1714000
5171391,2201,2399,170310509001,Cook,Illinois,W Addison St,0.28037957947687334992,0.26494843141054651813,191,1714000
5183308,1300,1398,170312832001,Cook,Illinois,W Arthington St,0.62050398738395548311,0.08877212389380532545,152,1714000
5183309,1201,1399,170312832001,Cook,Illinois,W Arthington St,0.62050398738395548311,0.08877212389380532545,152,1714000
5183310,777,1199,170312832001,Cook,Illinois,S Loomis St,0.62050398738395548311,0.08877212389380532545,152,1714000
5183311,1000,1198,170312832001,Cook,Illinois,S Throop St,0.62050398738395548311,0.08877212389380532545,152,1714000
5171392,3400,3612,170310509001,Cook,Illinois,N Leavitt St,0.28037957947687334992,0.26494843141054651813,191,1714000
5183312,1001,1199,170312832001,Cook,Illinois,S Throop St,0.62050398738395548311,0.08877212389380532545,152,1714000
5171393,2200,2398,170310509001,Cook,Illinois,W Cornelia Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5183313,1200,1398,170312832001,Cook,Illinois,W Grenshaw St,0.62050398738395548311,0.08877212389380532545,152,1714000
5183314,1201,1399,170312832001,Cook,Illinois,W Grenshaw St,0.62050398738395548311,0.08877212389380532545,152,1714000
5171394,2201,2399,170310509001,Cook,Illinois,W Cornelia Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5171395,3400,3598,170310509001,Cook,Illinois,N Bell Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5171396,3401,3599,170310509001,Cook,Illinois,N Bell Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5171397,3400,3598,170310509001,Cook,Illinois,N Oakley Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5171398,3401,3599,170310509001,Cook,Illinois,N Oakley Ave,0.28037957947687334992,0.26494843141054651813,191,1714000
5171399,3300,3412,170310510001,Cook,Illinois,N Claremont Ave,0.28037957947687334992,0.14957520982751718355,197,1714000
5171400,3301,3399,170310510001,Cook,Illinois,N Claremont Ave,0.28037957947687334992,0.14957520982751718355,197,1714000
5171401,301,3399,170310510001,Cook,Illinois,N Western Ave,0.28037957947687334992,0.14957520982751718355,197,1714000
5168953,1400,1554,170310101001,Cook,Illinois,W Juneway Ter,0.85167768478486198110,0.04500487903361483429,28,1714000
